Observación	Modelo	Mejor Ajuste	Parámetro
Obser_5_6	L_P	2.51974443716	b
Obser_5_6	L_P	4.78583633754	c
Obser_5_6	L_P	-8.02627289135	d
Obser_5_6	L_P	2.87308176285	e
Obser_5_6	L_P	807.860582806	Likelihood
Obser_5_7	L_G	0.684993189776	a
Obser_5_7	L_G	0.191274185775	b
Obser_5_7	L_G	-0.105220080006	c
Obser_5_7	L_G	3.13450564666	d
Obser_5_7	L_G	1592.59933836	Likelihood
Obser_5_8	L_P	16.2558876663	a
Obser_5_8	L_P	-7.41260046208	b
Obser_5_8	L_P	25.7105505815	c
Obser_5_8	L_P	0.791585372186	d
Obser_5_8	L_P	4.85092956709	e
Obser_5_8	L_P	964.822625472	Likelihood
Obser_5_9	L_P	-3.2147489672	a
Obser_5_9	L_P	1.3975098912	b
Obser_5_9	L_P	25.2506098776	c
Obser_5_9	L_P	-1.39000375432	d
Obser_5_9	L_P	0.785755214041	e
Obser_5_9	L_P	629.428195771	Likelihood
Obser_6_0	L_P	55.974228611	a
Obser_6_0	L_P	-15.7065466973	b
Obser_6_0	L_P	24.2721862009	c
Obser_6_0	L_P	1.99545441145	d
Obser_6_0	L_P	0.54766006211	e
Obser_6_0	L_P	1625.43226439	Likelihood
Obser_6_1	L_P	37.7834032221	a
Obser_6_1	L_P	-15.744072785	b
Obser_6_1	L_P	23.7421479934	c
Obser_6_1	L_P	0.97849038779	d
Obser_6_1	L_P	2.71645521996	e
Obser_6_1	L_P	2360.5593075	Likelihood
Obser_6_2	L_P	1.32883667173	a
Obser_6_2	L_P	-6.67007477792	b
Obser_6_2	L_P	5.75435608199	c
Obser_6_2	L_P	5.8566454941	d
Obser_6_2	L_P	3.08104887163	e
Obser_6_2	L_P	969.048651745	Likelihood
Obser_6_3	L_P	-34.5381327687	a
Obser_6_3	L_P	-1.77782766743	b
Obser_6_3	L_P	8.77158461075	c
Obser_6_3	L_P	3.13245221044	d
Obser_6_3	L_P	1.50195689537	e
Obser_6_3	L_P	679.174449869	Likelihood
Obser_6_4	L_P	-35.6850759772	a
Obser_6_4	L_P	6.0859038161	b
Obser_6_4	L_P	-14.9751305709	c
Obser_6_4	L_P	1.7470687303	d
Obser_6_4	L_P	4.58337665817	e
Obser_6_4	L_P	1204.21828412	Likelihood
Obser_6_5	L_P	-31.0785837584	a
Obser_6_5	L_P	-0.709050324655	b
Obser_6_5	L_P	8.77382008812	c
Obser_6_5	L_P	9.50041630395	d
